Date	Visitor	Visitor_PTS	Home	Home_PTS	Score_Type	OT	Notes
29/10/13	Orlando Magic	87	Indiana Pacers	97	Box Score		
29/10/13	Chicago Bulls	95	Miami Heat	107	Box Score		
29/10/13	Los Angeles Clippers	103	Los Angeles Lakers	116	Box Score		
30/10/13	Brooklyn Nets	94	Cleveland Cavaliers	98	Box Score		
30/10/13	Boston Celtics	87	Toronto Raptors	93	Box Score		
30/10/13	Miami Heat	110	Philadelphia 76ers	114	Box Score		
30/10/13	Washington Wizards	102	Detroit Pistons	113	Box Score		
30/10/13	Milwaukee Bucks	83	New York Knicks	90	Box Score		
30/10/13	Indiana Pacers	95	New Orleans Pelicans	90	Box Score		
30/10/13	Orlando Magic	115	Minnesota Timberwolves	120	Box Score		
30/10/13	Charlotte Bobcats	83	Houston Rockets	96	Box Score		
30/10/13	Memphis Grizzlies	94	San Antonio Spurs	101	Box Score		
30/10/13	Atlanta Hawks	109	Dallas Mavericks	118	Box Score		
30/10/13	Oklahoma City Thunder	101	Utah Jazz	98	Box Score		
30/10/13	Portland Trail Blazers	91	Phoenix Suns	104	Box Score		
30/10/13	Denver Nuggets	88	Sacramento Kings	90	Box Score		
30/10/13	Los Angeles Lakers	94	Golden State Warriors	125	Box Score		
31/10/13	New York Knicks	81	Chicago Bulls	82	Box Score		
31/10/13	Golden State Warriors	115	Los Angeles Clippers	126	Box Score		
